Product_Name,Price,Ratings,IMG,Product_ID,Category
Amazon Brand - Lark & Ro Women's Matte Jersey Three Quarter Sleeve Open Neck Dress,$39.00 ,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71PrzHTR1qL._AC_UL320_ML3_.jpg,dress28,dress
VIISHOW Womens Round Neck 3/4 Sleeves A-line Casual Tshirt Dress with Pocket,$19.99 ,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61BwvGI7QfL._AC_UL320_ML3_.jpg,dress29,dress
AlvaQ Women's Sexy V Neck Sleeveless Lace Dress,$39.99 ,3.8 out of 5 stars,https://m.media-amazon.com/images/I/61NXLr17ZrL._AC_UL320_ML3_.jpg,dress30,dress
adidas Originals Women's 3-Stripes Dress,$50.00 ,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71HJYojHw1L._AC_UL320_ML3_.jpg,dress31,dress
PRETTYGARDEN Women's Loose Solid Off Shoulder Elastic Waist Stretchy Long Romper Jumpsuit with Pockets,$23.99 ,3.9 out of 5 stars,https://m.media-amazon.com/images/I/5176ruGZl5L._AC_UL320_ML3_.jpg,dress32,dress
Floerns Women's Tie Neck Short Sleeve Ruffle Hem Cocktail Party Dress,$26.99 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/718mlpzbMHL._AC_UL320_ML3_.jpg,dress33,dress
Unbranded* Women's Long Sleeve Pocket Casual Loose T-Shirt Dress,$20.99 ,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61Z2xQ7rAML._AC_UL320_ML3_.jpg,dress34,dress
Zeagoo Ruched Bodycon Dress for Women,$18.99 ,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61kU5aflB9L._AC_UL320_ML3_.jpg,dress35,dress
GRECERELLE Women's Sleeveless Racerback Loose Plain Maxi Dresses Casual Long Dresses with Pockets,$23.99 ,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71rccMksG4L._AC_UL320_ML3_.jpg,dress36,dress
ROMWE Women's Summer Short Sleeve Pocket Tassel Hem Loose Tunic T-Shirt Dress,$13.99 ,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51Cwh4VsuyL._AC_UL320_ML3_.jpg,dress37,dress
PattyBoutik Women One Shoulder Cocktail Dress,$35.99 ,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61FYPCpccrL._AC_UL320_ML3_.jpg,dress38,dress
AUSELILY Women's Short Sleeve Pleated Loose Swing Casual Dress with Pockets Knee Length,$21.99 ,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61BkoEd2+jL._AC_UL320_ML3_.jpg,dress39,dress
Floerns Women's Off Shoulder Ruffle Loose Tunic Shift Dress,$22.99 ,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71kqmhl59EL._AC_UL320_ML3_.jpg,dress40,dress
Cowl Neck and Over The Shoulder Maternity Dress,$26.59 ,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51AVUmrDHtL._AC_UL320_ML3_.jpg,dress41,dress
PrettyGuide Women Slim Fit Ribbed Turtleneck Long Sleeve Maxi Knit Sweater Dress,$36.99 ,4.5 out of 5 stars,https://m.media-amazon.com/images/I/719RNarb7NL._AC_UL320_ML3_.jpg,dress42,dress
VFSHOW Womens Ruffle Bell Sleeves Business Cocktail Party Bodycon Sheath Dress,$33.99 ,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61979pCL8uL._AC_UL320_ML3_.jpg,dress43,dress
MUXXN Women's Classic Vintage Tie Neck Formal Cocktail Dress with Pocket,$32.99 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61cKUVYo3JL._AC_UL320_ML3_.jpg,dress44,dress
Nemidor Women's Deep- V Neck Sleeveless Vintage Plus Size Bridesmaid Formal Maxi Dress,$37.99 ,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61abqika8eL._AC_UL320_ML3_.jpg,dress45,dress
Amazon Brand - Lark & Ro Women's Three Quarter Sleeve Knit Fit and Flare Dress,$21.27 ,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71HGEDL8ZcL._AC_UL320_ML3_.jpg,dress46,dress
The Hundred Dresses,$6.79 ,4.8 out of 5 stars,https://m.media-amazon.com/images/I/91qmnwdDblL._AC_UL320_ML3_.jpg,dress47,dress
My Michelle Women's Perfect Pant with Wide Waistband,$19.40 ,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71JJmKl2e7L._AC_UL320_ML3_.jpg,dress48,dress
VFSHOW Womens Celebrity Elegant Ruched Cocktail Party Bodycon Sheath Dress,$34.99 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/510V4VtZKmL._AC_UL320_ML3_.jpg,dress49,dress
MISSMAY Women's Vintage Floral Lace Long Sleeve Boat Neck Cocktail Party Swing Dress,$42.99 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71apHdKPnhL._AC_UL320_ML3_.jpg,dress50,dress
Romwe Women's Lace Sleeveless A Line Elegant Cocktail Evening Party Dress,$26.99 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61Uss1ZLWCL._AC_UL320_ML3_.jpg,dress51,dress
KILIG Women's Long Sleeve Dress Spaghetti Strap Button Down Dress with Pockets,$25.99 ,4.3 out of 5 stars,https://m.media-amazon.com/images/I/612k30x4ybL._AC_UL320_ML3_.jpg,dress52,dress
Milumia Women's Plus Size Mesh Frill Ruffle Round Neck Pencil Party Dress,$29.99 ,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61jeUuKdfkL._AC_UL320_ML3_.jpg,dress53,dress
"HUE Women's Cotton Ultra Legging with Wide Waistband, Assorted",$22.79 ,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61WhvRk6rLL._AC_UL320_ML3_.jpg,dress54,dress
Amazon Brand - Lark & Ro Women's Half Sleeve V-Neck Sheath Sweater Dress with Buttons,$25.52 ,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71M3nPLSrxL._AC_UL320_ML3_.jpg,dress55,dress
